name,title,url,author,publisher,issued,publisher_classification,description,tags,license_id,license_url,license_notes,place,location,country,language,status,metadatacreated,generator,api_endpoint,api_type,full_metadata_download
opendataterritorioenna-it,Open Data Territorio Enna - Geo open data della Provincia di Enna,http://www.opendataterritorioenna.it,Giuseppe Claudio Vitale,Provincia Regionale di Enna,29/04/2013,Institutional,E' un portale di dati spaziali e territoriali,enna italy regional,Other (Open),http://www.dati.gov.it/iodl/2.0/,,"Enna, Italia","37.567401,14.279574",IT,it,active,,,,,
opendoor-kentucky,OpenDoor Kentucky,http://opendoor.ky.gov/transparency/Pages/default.aspx,,,,,Kentucky's Financial Transparency Portal.,finance,notspecified,,,Kentucky,"37.5726028,-85.1551411",US,en,active,2012-05-20T16:12:54.175Z,,,,
openei,OpenEI – Open Energy Info,http://en.openei.org/,U.S. National Renewable Energy Laboratory,U.S. National Renewable Energy Laboratory,,,"An online community dedicated to information and data on energy resources. Provides access to energy-related information via geographic discovery, visualizations, and topic-oriented gateways. The site includes a data catalog of hundreds of energy-related datasets. Developed by the National Renewable Energy Laboratory (NREL) with funding from the U.S. Department of Energy.",energy level.global us wiki unitedstates,notspecified,,,Global,"0,0",Global,en,active,2011-12-07T11:35:29.914Z,,,,
opengov_es,Opengov.es,http://opengov.es,,,,,"CKAN repository of Spanish open data intiatives

Facilitator: Javier De La Cueva. Contact: see <http://javierdelacueva.es/contacto/>.",ctic level.local ckan publicdata-eu spain,,,,Spain,"40.0028028,-4.003104",ES,es,active,2011-06-27T18:15:27.743Z,,,,
opengov_se,OpenGov Sweden Catalog,http://www.opengov.se/data,Peter Krantz,Peter Krantz,,,Opengov.se is an initiative to highlight available public datasets in Sweden.,ctic publicdata-eu,cc-by,,,Sweden,"59.6749712,14.5208584",SE,sv,active,2011-06-27T18:15:23.34Z,,,,
opengovdata_ru,OpenGovData Russia Catalog,http://opengovdata.ru,,,,,OpenGovData.ru is a public data catalog published by the Russian Government,ctic,,,,Russia,"64.6863136,97.7453061",RU,ru,active,2011-06-27T18:15:25.196Z,,,,
open_nrw,open NRW,https://open.nrw,Municipal and State Authorities of North Rhine-Westphalia,State Government of North Rhine-Westphalia,,Government,Aggregation of open data offerings of many municipal authorities within the german federal state of North Rhine-Westphalia,level.local level.regional germany ckan,,,,North Rhine-Westphalia,"51.2243,6.7873",DE,de,active,,CKAN,https://open.nrw/api/,CKAN API,https://open.nrw/api/3/action/current_package_list_with_resources
openstreetmap,OpenStreetMap,http://www.openstreetmap.org,OpenStreetMap Foundation,OpenStreetMap Foundation,,,Wikipedia for geo data,level.global osm,notspecified,,,Earth,"0,0",,de en es fr it nl,active,2011-06-30T10:28:04.804Z,,,,
oppnadata_se,Öppna Data,http://oppnadata.se/,VINNOVA (Verket för innovationssystem) / Svenska Regeringen,VINNOVA (Verket för innovationssystem) / Svenska Regeringen,,,Governmental portal for sharing of data made public for reuse.,level.national eu-official,,,,Sweden,"59.6749712,14.5208584",SE,sv,active,2013-01-17T15:00:03.209Z,,,,
orebro-psi-data,Orebro Kommun Data Catalog,http://www.orebro.se/psidata,Örebro Kommun,Örebro Kommun,,,"Local data portal for Örebro. Contains a variety of data sources, like statistics and geodata, but also monthly spending listing individual received invoices, traffic data etc.",level.local eu-official,other-pd,,,Örebro,"59.2747378,15.2149988",SE,se,active,2013-11-26T09:23:05.567Z,,,,
oregon,Oregon,http://data.oregon.gov/,State of Oregon,State of Oregon,,,State of Oregon Data Catalog,ctic level.local unitedstates,,,,"Oregon, United States","43.9792797,-120.737257",US,en,active,2011-06-27T18:15:29.885Z,,,,
os-amsterdam,Amsterdam O+S,http://www.os.amsterdam.nl/,Gemeente Amsterdam,Gemeente Amsterdam,,,"The Department for Research and Statistics of the City of Amsterdam, Netherlands.",level.local eu-official netherlands,,,,"Amsterdam, NL","52.3710088,4.9001115",NL,,active,2013-01-09T10:31:42.674Z,,,,
ottawa_ca,"Ottawa, Ontario",http://data.ottawa.ca/,City of Ottawa,City of Ottawa,,,"You may send feedback via [email](mailto:opendata@ottawa.ca) or [webform](https://ottawa.ca/cgi-bin/form.cgi?dir=opendata&form=form_en) and [request datasets](http://www.dataott.org/app/). Adapted the [Vancouver license](http://www.ottawa.ca/en/city_hall/statisticsdata/opendata/terms/index.htm).

Short URL: http://ottawa.ca/opendata",ctic level.local ckan canada,,,,"Ottawa, Ontario","45.4210328,-75.6900219",CA,en,active,2011-06-27T18:15:02.535Z,,,,
oulu_finland,Oulu region data catalog,http://www.ouka.fi/oulu/oulu-tietoa/avoin-data,City of Oulu,City of Oulu,,,Launched 25.12.2013,finland level.regional oulu eu-official,notspecified,,,Oulu,"65.0118734,25.4716809",FI,fi,active,2014-06-09T09:43:03.921Z,,,,
overheid_nl,Netherlands Public Data Catalogue,http://data.overheid.nl,BZK/WM/KOOP (Government ICT Office),BZK/WM/KOOP (Government ICT Office),,,Overheid.nl is the central access point to all information about / from government organisations of the Netherlands. Data.overheid.nl (launched 2011) is the central register for all government data sets.,ctic level.national ckan eu-official netherlands,cc-zero,,,Kingdom of the Netherlands,"52.2379891,5.534607382",NL,nl,active,2011-06-27T18:14:16.861Z,,,,
